monomer_ID,smiles,density,self-diffusion,Cp,bulk_modulus,linear_expansion,refractive_index,thermal_conductivity,polymer_class
PI522,*CCC=C(*)C,0.879267279,1.24e-12,4096.184263,2580134993.0,0.000160007,1.531134009,0.231880959,6
PI524,*OCC*,1.105420268,1.1e-11,4088.15244,2417919907.0,0.000292941,1.505800532,0.228362211,7
PI525,*OC(C*)C,1.011307994,1.01e-12,3764.333756,2995279063.0,0.000143819,1.481373304,0.239033549,7
PI526,*CC(CCl)O*,1.33405247,6.28e-13,2407.237421,3569770678.0,0.000117107,1.505692186,0.164668029,7
PI527,*CCCCO*,0.972439816,7.16e-12,4477.077549,2130153504.0,0.000293982,1.470156657,0.280752907,7
PI528,*Oc1c(cc(cc1C)*)C,1.005290106,1.5e-13,3039.04925,2526648597.0,0.000101352,1.525201209,0.250026591,7
PI529,*Oc1c(OC)cc(*)cc1OC,1.179002973,3.79e-13,2788.068296,3045428347.0,9.5e-05,1.544880701,0.240386045,7
PI530,*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,1.070064482,4.69e-13,2827.191457,2564389667.0,9.48e-05,1.636654628,0.184951114,7
PI531,*C(=O)OCCOC(=O)c1ccc(*)o1,1.294258311,4.17e-13,2517.37182,3529581655.0,6.27e-05,1.503340854,0.228261215,7
PI532,*CCOCCOC(=O)c1cccc(C(=O)O*)c1,1.245569001,4.51e-13,2859.136843,4328883956.0,0.000110829,1.548133121,0.215430956,7
PI533,*CCOc1ccc(C(=O)OCCOC(=O)c2ccc(O*)cc2)cc1,1.239214752,1.94e-13,2804.016286,4352088398.0,9.15e-05,1.605176045,0.247366967,7
PI534,*CCCCOc1ccc(C(=O)OCCOC(=O)c2ccc(O*)cc2)cc1,1.19443613,3.46e-13,2887.275862,4372086920.0,8.7e-05,1.592199633,0.250970317,7
PI535,*Oc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(*)cc3)c2)cc1,1.224593369,2.93e-13,2724.886448,4072671990.0,5.66e-05,1.687047046,0.300233168,7
PI536,*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)*,1.28108858,6.15e-13,2427.274907,3522996881.0,8.79e-05,1.605589302,0.203838738,7
PI537,*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)*)(C)C,1.170201666,5.34e-13,2734.316531,3416706721.0,7.8e-05,1.607264823,0.210272564,7
PI538,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(Cc4ccc(*)cc4)cc3)cc2)cc1,1.212082381,5.57e-13,2661.595925,3726093008.0,7.51e-05,1.641950085,0.211169803,7
PI539,*Oc1ccc(cc1)C(c1ccc(cc1)OCC(C*)O)(C)C,1.10386877,4.21e-13,3237.442814,3731060052.0,7.27e-05,1.572661203,0.22967917,7
PI540,*CC1CC(*)OC(CCC)O1,1.00771137,5.21e-13,3695.460001,2580969489.0,0.000135542,1.450395244,0.253400518,7
PI541,*Oc1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)*,1.198377884,6.56e-13,2729.519537,3532699654.0,9.66e-05,1.675128633,0.28329363,7
